index,expression,tag,correction,Erreur,correction_finale
7,moses itauma,PERSON,,,PERSON
7,fabio wardley,PERSON,,,PERSON
7,fabio wardley,PERSON,,,PERSON
7,moses itauma,PERSON,,,PERSON
7,moses itauma,PERSON,,,PERSON
7,oleksandr usyk,PERSON,,,PERSON
7,moses itauma,PERSON,,,PERSON
7,kubrat pulev,PERSON,,,PERSON
7,london uk,GPE,,,GPE
8,station,ORG,NULL,,NULL
8,hbr,ORG,,,ORG
8,south yorkshire,GPE,,,GPE
8,hull,ORG,GPE,,GPE
8,station,ORG,NULL,,NULL
9,the plantbase revolution,EVENT,,,EVENT
9,kefir,PRODUCT,,,PRODUCT
9,maladie,PERSON,NULL,,NULL
9,wellbee,PERSON,,,PERSON
9,kefir,PERSON,PRODUCT,,PRODUCT
9,kefir,PERSON,PRODUCT,,PRODUCT
9,megan rossi,PERSON,,,PERSON
9,dr rossi,PERSON,,,PERSON
9,stanford university,ORG,,,ORG
9,no bryan johnson,PERSON,,,PERSON
9,kefir,PRODUCT,,,PRODUCT
9,kefir,PRODUCT,,,PRODUCT
9,rossi,PERSON,,,PERSON
9,kefir,PRODUCT,,,PRODUCT
9,kefir kombucha yogurt,PRODUCT,,,PRODUCT
9,rossi,PERSON,,,PERSON
9,rossi,PERSON,,,PERSON
9,biotiful,ORG,,,ORG
9,biome,ORG,NULL,,NULL
9,the good gut health drink,PRODUCT,,,PRODUCT
9,rossi,PERSON,,,PERSON
9,kefir,PRODUCT,,,PRODUCT
9,the national library of medicine,ORG,,,ORG
9,kefir,PERSON,PRODUCT,,PRODUCT
9,kefir,PRODUCT,,,PRODUCT
9,maca powder,PRODUCT,,,PRODUCT
9,kefir,PRODUCT,,,PRODUCT
9,london uk,GPE,,,GPE
10,indepth,ORG,NULL,,NULL
10,govern body,ORG,,,ORG
10,uk,GPE,,,GPE
10,the uk gambling commission,ORG,,,ORG
10,sky vegas,GPE,,,GPE
10,uk,GPE,,,GPE
10,sky vegas,ORG,,,ORG
10,sky vegass,ORG,,,ORG
10,vegas,PERSON,GPE,,GPE
10,ukgc,ORG,,,ORG
10,vegas,PERSON,GPE,,GPE
10,vegas,NORP,GPE,,GPE
10,the wheel of vegas exist,EVENT,NULL,,NULL
10,rainbow friday,EVENT,,,EVENT
10,the wheel of vegas,FAC,,,FAC
10,vegas,GPE,,,GPE
10,betfair casino exchange,ORG,,,ORG
10,grosvenor casino,ORG,,,ORG
10,ukgc,ORG,,,ORG
10,grosvenor casino,ORG,,,ORG
10,grosvenor,ORG,NULL,,NULL
10,grosvenor casino,ORG,,,ORG
10,freetoplay,PRODUCT,,,PRODUCT
10,hilo,PRODUCT,GPE,,GPE
10,blackjackinspire,PRODUCT,,,PRODUCT
10,uk,GPE,,,GPE
10,blackjack ladbroke,ORG,,,ORG
10,ladbroke casino,ORG,,,ORG
10,blackjack,ORG,NULL,,NULL
10,blackjack table,ORG,NULL,,NULL
10,ladbroke bet,ORG,EVENT,,EVENT
10,ladbroke,ORG,,,ORG
10,ladbroke,ORG,,,ORG
10,las vegas,GPE,,,GPE
10,betmgm,ORG,,,ORG
10,vegas casino,ORG,,,ORG
10,millions,PRODUCT,NULL,,NULL
10,10,PRODUCT,NULL,,NULL
10,betmgm casino,ORG,,,ORG
10,vip table,ORG,NULL,,NULL
10,virgin games,PRODUCT,,,PRODUCT
10,virgin games,PRODUCT,,,PRODUCT
10,io,PRODUCT,NULL,,NULL
10,android,PRODUCT,,,PRODUCT
10,virgin game,PRODUCT,,,PRODUCT
10,the virgin vault,ORG,NULL,,NULL
10,virgin,PRODUCT,ORG,,ORG
10,quickbet casino,ORG,,,ORG
10,quickbet,ORG,,,ORG
10,quickbet,ORG,,,ORG
10,mecca bingo,ORG,,,ORG
10,mecca bingo,ORG,,,ORG
10,uk,GPE,,,GPE
10,mecca,ORG,,,ORG
10,mecca,ORG,,,ORG
10,pokerstar rating,ORG,NULL,,NULL
10,pokerstar,ORG,,,ORG
10,pokerstar,ORG,,,ORG
10,pokerstar learn,ORG,,,ORG
10,pokerstar,ORG,,,ORG
10,pokerstar,ORG,,,ORG
10,ukgc,ORG,,,ORG
10,ecogra,ORG,,,ORG
10,so,ORG,NULL,,NULL
10,the good casino site,ORG,NULL,,NULL
10,a good apple pay casino,ORG,NULL,,NULL
10,ukgc,ORG,,,ORG
10,paypal,ORG,,,ORG
10,uk,GPE,,,GPE
10,paypal,ORG,,,ORG
10,paypal,ORG,,,ORG
10,ewallet,ORG,,,ORG
10,paypal,ORG,,,ORG
10,ewallet,ORG,,,ORG
10,skrill casino,ORG,,,ORG
10,neteller casino,ORG,,,ORG
10,uk,GPE,,,GPE
10,vip,ORG,NULL,,NULL
10,apple,PRODUCT,ORG,,ORG
10,google pay,PRODUCT,,,PRODUCT
10,google pay,PRODUCT,,,PRODUCT
10,apple pay casino,ORG,NULL,,NULL
10,mobile player,ORG,NULL,,NULL
10,android,PRODUCT,,,PRODUCT
10,apple,PRODUCT,,,PRODUCT
10,mobile,ORG,NULL,,NULL
10,mobile casino,ORG,,,ORG
10,trustly,ORG,,,ORG
10,uk,GPE,,,GPE
10,uk casino,ORG,NULL,,NULL
10,the good casino site,ORG,NULL,,NULL
10,ukgcs,ORG,,,ORG
10,the good casino site,ORG,NULL,,NULL
10,anonymous gamstop,PERSON,,,PERSON
10,the good casino site,ORG,NULL,,NULL
10,the good online casino,ORG,NULL,,NULL
10,the good online casino uk site,ORG,NULL,,NULL
10,the good casino app,ORG,NULL,,NULL
10,ukgc,ORG,,,ORG
10,harm,PERSON,NULL,,NULL
10,uk,GPE,,,GPE
10,vegas,LOC,,,LOC
10,uk,GPE,,,GPE
10,the uk gambling commission,ORG,,,ORG
10,bet365,ORG,,,ORG
10,coral ladbroke,PERSON,,,PERSON
10,playojo,ORG,,,ORG
10,uk casino,ORG,,,ORG
10,pokerstar,ORG,,,ORG
10,vegas,ORG,,,ORG
10,mobile,PRODUCT,NULL,,NULL
10,virgin game,ORG,,,ORG
10,ladbroke,ORG,,,ORG
10,mobile,PRODUCT,NULL,,NULL
10,mobile,PRODUCT,NULL,,NULL
10,paypal,ORG,,,ORG
10,apple,ORG,,,ORG
10,skrill,ORG,,,ORG
10,neteller,ORG,,,ORG
10,paypal,ORG,,,ORG
10,ewallet,ORG,,,ORG
10,coral casino,ORG,,,ORG
10,mobile casino,ORG,,,ORG
10,proscon,ORG,,,ORG
10,proscon,ORG,,,ORG
10,proscon,ORG,,,ORG
10,uk,GPE,,,GPE
10,proscon,ORG,,,ORG
10,proscon,ORG,,,ORG
10,proscon,ORG,,,ORG
10,tote casino,ORG,,,ORG
10,uk,GPE,,,GPE
10,tote casino,ORG,,,ORG
10,playn go netent,PRODUCT,NULL,,NULL
10,megaway,ORG,,,ORG
10,london uk,GPE,,,GPE
11,amy thompson,PERSON,,,PERSON
13,african,NORP,,,NORP
13,caribbean,NORP,,,NORP
13,sile sibanda,PERSON,,,PERSON
13,bbc radio,ORG,,,ORG
13,sheffield,GPE,,,GPE
13,bbc radio,ORG,,,ORG
13,york,GPE,,,GPE
13,bbc radio,ORG,,,ORG
13,leed,ORG,GPE,,GPE
13,bbc radio,ORG,,,ORG
13,lincolnshire,GPE,,,GPE
13,bbc,ORG,,,ORG
14,afghanistan,GPE,,,GPE
14,bangladesh,GPE,,,GPE
14,afghanistan,GPE,,,GPE
14,bangladesh,GPE,,,GPE
14,the icc test championship,EVENT,,,EVENT
14,twoteam,ORG,,,ORG
14,new zealand,GPE,,,GPE
14,india,GPE,,,GPE
14,the 50over world cup,EVENT,,,EVENT
14,australia,GPE,,,GPE
14,england,GPE,,,GPE
14,ben stokesinspire,ORG,,,ORG
14,new zealand,GPE,,,GPE
14,australia,GPE,,,GPE
14,afghanistan,GPE,,,GPE
14,bangladesh,GPE,,,GPE
14,afghanistan,GPE,,,GPE
14,bangladesh,GPE,,,GPE
14,afghanistan,GPE,,,GPE
14,bangladesh,GPE,,,GPE
14,uae 2025,EVENT,,,EVENT
14,the icc test championship,EVENT,,,EVENT
14,twoteam,ORG,,,ORG
14,new zealand,GPE,,,GPE
14,india,GPE,,,GPE
14,the 50over world cup,EVENT,,,EVENT
14,australia,GPE,,,GPE
14,england,GPE,,,GPE
14,ben stokesinspire,ORG,,,ORG
14,new zealand,GPE,,,GPE
14,australia,GPE,,,GPE
14,london uk,GPE,,,GPE
15,hawaii,GPE,,,GPE
15,the american express,ORG,,,ORG
16,bbc,ORG,,,ORG
16,london,GPE,,,GPE
16,england,GPE,,,GPE
16,kieron conway,PERSON,,,PERSON
16,george liddard,PERSON,,,PERSON
16,british,GPE,,,GPE
17,the us coast guard,ORG,,,ORG
17,alaska,GPE,,,GPE
18,bbc,ORG,,,ORG
18,bbccom,ORG,PRODUCT,,PRODUCT
18,bbc,ORG,,,ORG
18,bbc podcasts radio 4,ORG,,,ORG
18,the world service,ORG,,,ORG
18,uk,GPE,,,GPE
19,bbc,ORG,,,ORG
19,bbccom,ORG,PRODUCT,,PRODUCT
19,bbc,ORG,,,ORG
19,bbc podcasts radio 4,ORG,,,ORG
19,the world service,ORG,,,ORG
19,uk,GPE,,,GPE
20,african,NORP,,,NORP
20,zimbabwe,GPE,,,GPE
20,nhanga,FAC,NULL,,NULL
20,nhanga,GPE,NULL,,NULL
20,zimbabwe,GPE,,,GPE
20,southern african,NORP,,,NORP
20,anita razo,PERSON,,,PERSON
20,traditional homestead,FAC,NULL,,NULL
20,nhanga,FAC,NULL,,NULL
20,nhanga,FAC,NULL,,NULL
20,nokutenda magama,PERSON,,,PERSON
20,rozaria memorial trust,ORG,,,ORG
20,nhanga,ORG,NULL,,NULL
20,zimbabwe,GPE,,,GPE
20,marrie,PERSON,NULL,,NULL
20,the united nations children fund,ORG,,,ORG
20,east and southern africa,LOC,,,LOC
20,west africa,LOC,,,LOC
20,niger,GPE,,,GPE
20,at,GPE,NULL,,NULL
20,unicef,ORG,,,ORG
20,zimbabwe,GPE,,,GPE
20,african,NORP,,,NORP
20,samantha chidodo,PERSON,,,PERSON
20,rozaria memorial trust,ORG,,,ORG
20,nhanga,GPE,NULL,,NULL
20,nhanga,GPE,NULL,,NULL
20,zimbabwe,GPE,,,GPE
20,zambia,GPE,,,GPE
20,sierra leone,GPE,,,GPE
20,african union and united nations forum,ORG,,,ORG
20,xmas savanhu,PERSON,NULL,,NULL
20,ngo,ORG,NULL,,NULL
20,enet tini,PERSON,,,PERSON
20,girlsle,ORG,NULL,,NULL
20,nyaradzai gumbonzvanda,PERSON,,,PERSON
20,un woman,ORG,,,ORG
20,the rozaria memorial trust,ORG,,,ORG
20,africa,LOC,,,LOC
20,gumbonzvanda,PERSON,,,PERSON
20,rozaria memorial trust,ORG,,,ORG
20,razo,PERSON,NULL,,NULL
20,razo,PERSON,NULL,,NULL
20,trump,ORG,PERSON,,PERSON
20,california,GPE,,,GPE
20,center human need,ORG,NULL,,NULL
20,south africa,GPE,,,GPE
20,south africa,GPE,,,GPE
20,world cup,EVENT,,,EVENT
20,madagascar,GPE,,,GPE
20,madagascar,GPE,,,GPE
20,london uk,GPE,,,GPE
21,holly clarke,PERSON,,,PERSON
21,uk,GPE,,,GPE
21,uk,GPE,,,GPE
21,uk,GPE,,,GPE
21,allwyn,ORG,,,ORG
21,andy carter,PERSON,,,PERSON
21,allwyn operator,ORG,,,ORG
21,the national lottery,ORG,,,ORG
21,the national lottery,EVENT,ORG,,ORG
21,matthew horwoodgetty,PERSON,,,PERSON
22,brasilia,GPE,,,GPE
22,brazil,GPE,,,GPE
22,brazilian,NORP,,,NORP
22,atletico mineiro,ORG,,,ORG
22,palmeira,GPE,,,GPE
23,the alaskan coast,LOC,,,LOC
23,typhoon halong,EVENT,,,EVENT
23,lowlye alaska,GPE,NULL,,NULL
23,anchorage,GPE,,,GPE
23,the coast guard,ORG,,,ORG
23,sea hundred,LOC,NULL,,NULL
23,western alaska,LOC,,,LOC
23,the national guard,FAC,ORG,,ORG
23,bethel,GPE,NULL,,NULL
23,a,GPE,NULL,,NULL
23,fairbank,GPE,,,GPE
23,anchorage,GPE,,,GPE
23,kipnuk,GPE,,,GPE
23,kwigillingok,GPE,,,GPE
23,kipnuk,GPE,,,GPE
23,mark roberts,PERSON,,,PERSON
23,the state emergency management division,ORG,,,ORG
23,bethel,GPE,NULL,,NULL
23,brea paul,PERSON,,,PERSON
23,kipnuk,GPE,,,GPE
23,paul,PERSON,,,PERSON
23,paul,PERSON,,,PERSON
23,kwigillingok,GPE,,,GPE
23,the emergency management office,ORG,,,ORG
23,napakiak,GPE,,,GPE
23,toksook bay,LOC,,,LOC
23,nightmute,GPE,,,GPE
23,the national guard,ORG,,,ORG
23,alaska,GPE,,,GPE
23,rick thoman,PERSON,,,PERSON
23,alaska,GPE,,,GPE
23,the university of alaska fairbank,ORG,,,ORG
23,thoman,PERSON,,,PERSON
23,the pacific ocean,LOC,,,LOC
23,alaska,GPE,,,GPE
23,johnson,PERSON,,,PERSON
23,attanasio,PERSON,,,PERSON
23,seattle,GPE,,,GPE
23,alaska,GPE,,,GPE
23,typhoon halong,EVENT,,,EVENT
23,trump,PERSON,,,PERSON
23,cable news,ORG,,,ORG
23,trump,PERSON,,,PERSON
23,democratic,NORP,,,NORP
23,newsom,PERSON,,,PERSON
23,california,GPE,,,GPE
23,gordon ramsay,PERSON,,,PERSON
23,london,GPE,,,GPE
23,uk,GPE,,,GPE
23,85000,PRODUCT,NULL,,NULL
23,ukraine,GPE,,,GPE
23,russian,NORP,,,NORP
23,david amess,PERSON,,,PERSON
23,cet,PERSON,NULL,,NULL
23,london uk,GPE,,,GPE
24,oregon state,ORG,GPE,,GPE
24,trent bray,PERSON,,,PERSON
24,robb akey,PERSON,,,PERSON
25,oxford england,GPE,,,GPE
25,prnewswire,GPE,ORG,,ORG
25,modern alchemy,ORG,NULL,,NULL
26,prnewswire,ORG,,,ORG
27,london,GPE,,,GPE
27,prnewswire,ORG,,,ORG
27,washington,GPE,,,GPE
27,aevi,ORG,NULL,,NULL
28,park city,GPE,,,GPE
28,utah,GPE,,,GPE
28,prnewswire,ORG,,,ORG
28,blue clay health,ORG,,,ORG
28,coordinated care,ORG,NULL,,NULL
29,fairfield,GPE,,,GPE
29,prnewswire,ORG,,,ORG
29,as,ORG,NULL,,NULL
29,solano county,GPE,,,GPE
29,ifpte local,ORG,,,ORG
29,iuoe,ORG,,,ORG
29,stationary engineer,ORG,NULL,,NULL
30,mansfield park,FAC,,,FAC
30,jane austen,PERSON,,,PERSON
30,fanny,PERSON,,,PERSON
30,mansfield parsonage,FAC,,,FAC
30,jane,PERSON,,,PERSON
30,hampshire,GPE,,,GPE
30,steventon,GPE,,,GPE
30,jane,PERSON,,,PERSON
30,chawton,GPE,,,GPE
30,jane,PERSON,,,PERSON
30,jane austen,PERSON,,,PERSON
30,godmersham park,FAC,,,FAC
30,kent,GPE,,,GPE
30,janes,PERSON,,,PERSON
30,edward,PERSON,,,PERSON
30,mansfield park,FAC,,,FAC
30,edward,PERSON,,,PERSON
30,knight,PERSON,,,PERSON
30,godmersham,GPE,,,GPE
30,edwards,PERSON,,,PERSON
30,edward,PERSON,,,PERSON
30,godmersham park,FAC,,,FAC
30,fanny price,PERSON,,,PERSON
30,thomas bertram,PERSON,,,PERSON
30,mansfield park,FAC,,,FAC
30,jane austen,PERSON,,,PERSON
30,edward,PERSON,,,PERSON
30,jane,PERSON,,,PERSON
30,cassandra,PERSON,,,PERSON
30,fanny price,PERSON,,,PERSON
30,norris,PERSON,,,PERSON
30,mansfield park,FAC,,,FAC
30,transatlantic,NORP,NULL,,NULL
30,mansfield,PERSON,NULL,,NULL
30,mansfield park,FAC,,,FAC
30,mansfield park,FAC,,,FAC
30,henry crawford,PERSON,,,PERSON
30,portsmouth,GPE,,,GPE
30,mansfield park,FAC,,,FAC
30,austen,PERSON,,,PERSON
30,mansfield park,FAC,,,FAC
30,fanny,PERSON,,,PERSON
30,mansfield park,GPE,,,GPE
30,fanny,PERSON,,,PERSON
30,edmund,PERSON,,,PERSON
30,fanny,PERSON,,,PERSON
30,jane austen,PERSON,,,PERSON
30,mansfield park,FAC,,,FAC
30,fanny,PERSON,,,PERSON
30,edmund,PERSON,,,PERSON
30,mansfield parsonage,FAC,,,FAC
30,fanny,PERSON,,,PERSON
30,austen,PERSON,,,PERSON
30,fanny,PERSON,,,PERSON
30,jane austen,PERSON,,,PERSON
30,lucy worsley,PERSON,,,PERSON
30,jane austen,PERSON,,,PERSON
30,austen,PERSON,,,PERSON
30,fanny marriage,PERSON,,,PERSON
31,penguin press,ORG,,,ORG
31,jape,PERSON,,,PERSON
31,thomas pynchon,PERSON,,,PERSON
31,milwaukee,GPE,,,GPE
31,hick mctaggart,PERSON,,,PERSON
31,shadow ticket,ORG,,,ORG
31,pronto,PERSON,,,PERSON
31,joe keaney,PERSON,,,PERSON
31,manchester,GPE,,,GPE
32,scottish,NORP,,,NORP
32,suburban aberdeen,GPE,,,GPE
32,saltire,GPE,,,GPE
32,scottish,NORP,,,NORP
32,scottish,NORP,,,NORP
32,union,ORG,NULL,,NULL
32,uk,GPE,,,GPE
32,uks,GPE,,,GPE
32,south of the border,LOC,,,LOC
32,unionist,NORP,,,NORP
32,scotland,GPE,,,GPE
32,snp,ORG,,,ORG
32,holyrood,GPE,,,GPE
32,nigel farage party,ORG,,,ORG
32,scotland,GPE,,,GPE
32,scottish,NORP,,,NORP
32,snp,ORG,,,ORG
32,john swinney,PERSON,,,PERSON
32,partys,ORG,,,ORG
32,scotland,GPE,,,GPE
32,uk,GPE,,,GPE
32,party,ORG,,,ORG
32,edinburgh,GPE,,,GPE
32,swinney,PERSON,,,PERSON
32,norstat,ORG,,,ORG
32,snp,ORG,,,ORG
32,holyrood,EVENT,,,EVENT
32,independence,ORG,,,ORG
32,snp,ORG,,,ORG
32,uk,GPE,,,GPE
32,scottish,NORP,,,NORP
32,ana sarwar,PERSON,,,PERSON
32,snps,ORG,,,ORG
32,labour party,ORG,NORP,,NORP
32,the labour government,ORG,,,ORG
32,john curtice,PERSON,,,PERSON
32,strathclyde university,ORG,,,ORG
32,scottish,NORP,,,NORP
32,westminster,GPE,,,GPE
32,snp,ORG,,,ORG
32,the health service,ORG,,,ORG
32,curtice,PERSON,,,PERSON
32,swinney,PERSON,,,PERSON
32,party,ORG,,,ORG
32,snp,ORG,,,ORG
32,uk,GPE,,,GPE
32,brexit,EVENT,,,EVENT
32,scotland,GPE,,,GPE
32,westminster,GPE,,,GPE
32,internal party,ORG,,,ORG
32,james mitchell,PERSON,,,PERSON
32,edinburgh university,ORG,,,ORG
32,swinney,GPE,PERSON,,PERSON
32,westminster,GPE,,,GPE
32,snp,ORG,,,ORG
32,snp,ORG,,,ORG
32,swinney,NORP,PERSON,,PERSON
32,snp,ORG,,,ORG
32,swinney,GPE,PERSON,,PERSON
32,scotland,GPE,,,GPE
32,uk,GPE,,,GPE
32,eu,ORG,,,ORG
32,swinney,PERSON,,,PERSON
32,unionist,NORP,,,NORP
32,europe,LOC,,,LOC
32,critic,PERSON,,,PERSON
32,partys,NORP,,,NORP
32,kenny macaskill,PERSON,,,PERSON
32,nationalist party,ORG,,,ORG
32,alba,ORG,,,ORG
32,eu,ORG,,,ORG
32,scotland,GPE,,,GPE
32,northern ireland,GPE,,,GPE
32,scotland,GPE,,,GPE
32,scottish,NORP,,,NORP
32,swinney,GPE,PERSON,,PERSON
32,scotland,GPE,,,GPE
32,scotland,GPE,,,GPE
32,uk,GPE,,,GPE
32,southeast england,GPE,LOC,,LOC
32,scotland,GPE,,,GPE
32,independence,ORG,NULL,,NULL
32,sam taylor,PERSON,,,PERSON
32,these island,GPE,NULL,,NULL
32,duck,PERSON,NULL,,NULL
32,labour party,ORG,NORP,,NORP
32,john curtice,PERSON,,,PERSON
32,swinney,ORG,PERSON,,PERSON
32,norstat,ORG,,,ORG
33,torecupboard,ORG,NULL,,NULL
33,emiko davy,PERSON,,,PERSON
33,japanese,NORP,,,NORP
33,smith street book,ORG,,,ORG
33,us,GPE,,,GPE
33,sake,PERSON,,,PERSON
33,davie,PERSON,,,PERSON
33,harriet fitch,PERSON,,,PERSON
33,little,PERSON,,,PERSON
33,davy,PERSON,,,PERSON
33,davy,PERSON,,,PERSON
33,japonica,NORP,,,NORP
33,emiko,PERSON,,,PERSON
33,japanese,NORP,,,NORP
34,indonesian,NORP,,,NORP
34,australian,NORP,,,NORP
34,israeli,NORP,,,NORP
34,japanese,NORP,,,NORP
34,brazilian,NORP,,,NORP
34,canadian,NORP,,,NORP
34,malaysian,NORP,,,NORP
34,new zealand,GPE,,,GPE
34,rican,NORP,,,NORP
34,norwegian,NORP,,,NORP
34,pakistani,NORP,,,NORP
34,danish,NORP,,,NORP
34,egyptian,NORP,,,NORP
34,hong kong,GPE,,,GPE
34,hungarian,NORP,,,NORP
34,romanian,NORP,,,NORP
34,indian,NORP,,,NORP
34,russian,NORP,,,NORP
34,saudi,NORP,,,NORP
34,singapore,GPE,,,GPE
34,south african,NORP,,,NORP
34,south korean,NORP,,,NORP
34,swedish,NORP,,,NORP
35,ireland,GPE,,,GPE
35,remarkable tree,PERSON,NULL,,NULL
35,irish,NORP,,,NORP
35,thomas pakenham,PERSON,,,PERSON
35,ireland,GPE,,,GPE
35,avenue,FAC,NULL,,NULL
35,irish,NORP,,,NORP
35,carlow,GPE,,,GPE
35,altamont,FAC,NULL,,NULL
35,tullow,GPE,,,GPE
35,corona north,PERSON,FAC,,FAC
35,lecky watson,PERSON,,,PERSON
35,himalayas,LOC,,,LOC
35,corona,PERSON,FAC,,FAC
35,royal ascot,FAC,EVENT,,EVENT
35,lecky watson,PERSON,,,PERSON
35,altamont,PERSON,,,PERSON
35,aidan obrien,PERSON,,,PERSON
35,the carlow garden festival,EVENT,,,EVENT
35,huntington castle,FAC,,,FAC
35,clonegal,GPE,,,GPE
35,elizabeth I,PERSON,,,PERSON
35,cromwell,GPE,PERSON,,PERSON
35,the carriage drive,FAC,,,FAC
35,european,NORP,,,NORP
35,main huntington castle county carlow,FAC,,,FAC
35,elizabeth I,FAC,PERSON,,PERSON
35,cromwell,GPE,PERSON,,PERSON
35,irish,NORP,,,NORP
35,the avenue of linden tree,FAC,,,FAC
35,france,GPE,,,GPE
35,netherlands,LOC,,,LOC
35,zwarte linde,FAC,NULL,,NULL
35,a green castle,FAC,NULL,,NULL
35,france,GPE,,,GPE
